Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),111,1927,1980,8.6,8.7
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,2004,2310,6.3,8.6
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),7,1523,1554,5.9,5.9
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),41,1888,1948,6.9,7.0
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),40,2167,2212,10.3,10.5
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),22,1672,1716,9.5,9.4
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),146,1918,1956,8.7,8.8
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),1,2283,2283,6.7,6.7
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),9,1432,1448,5.2,5.1
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),56,1839,1896,6.9,7.0
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),55,2151,2170,10.3,10.4
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),25,1720,1770,10.7,10.6
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),42,1744,1844,7.7,8.3
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,1714,3545,6.4,19.2
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),2,2041,2041,12.1,12.1
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),10,1873,1869,7.2,7.1
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),14,1912,2090,8.6,9.9
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),15,1480,1480,6.6,6.6
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1157,1851,1908,8.7,9.0
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),12,1539,1579,6.3,6.8
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),99,1622,1652,6.6,6.8
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),504,1886,1937,7.9,8.2
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),298,2001,2100,10.1,10.6
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),244,1708,1732,9.7,9.9
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1664,1856,1907,8.6,8.9
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),13,1533,1603,6.0,6.7
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),149,1635,1664,6.7,6.9
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),749,1882,1929,7.8,8.1
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),432,2033,2121,10.4,10.8
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),322,1674,1693,9.3,9.4
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),282,1661,1738,9.0,9.4
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),7,1464,1439,7.6,7.9
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),10,1321,1357,5.7,6.0
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),74,1676,1789,8.1,8.6
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),85,1598,1686,7.7,8.0
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),105,1747,1802,11.1,11.5
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1280,1716,1763,8.6,8.7
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),30,1378,1472,7.9,8.5
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),100,1653,1695,10.6,10.7
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),414,1666,1719,7.8,8.1
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),481,1824,1869,8.7,8.8
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),256,1659,1698,8.8,8.9
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1554,1701,1744,8.2,8.4
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),27,1275,1357,7.2,7.2
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),119,1598,1628,10.0,10.1
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),491,1647,1701,7.4,7.7
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),611,1815,1858,8.4,8.5
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),305,1639,1664,8.6,8.7
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),684,1721,1787,9.6,9.8
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),32,1543,1612,9.0,9.3
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),59,1819,1913,11.9,11.9
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),220,1685,1733,9.0,9.3
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),222,1803,1865,10.1,10.4
All Vehicles - StL All Vehicles Volume,Trip Start,1263,Westminster,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),152,1650,1740,8.6,8.9
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),121,1696,1852,7.5,8.4
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,1781,1633,11.8,11.0
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),13,1401,1487,5.9,6.6
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),52,1550,1667,5.9,6.7
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),36,1998,2211,10.1,11.4
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),19,1735,1952,7.8,8.6
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),161,1730,1910,7.8,8.8
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),1,1563,1247,21.1,16.8
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),18,1440,1531,5.8,6.6
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),61,1532,1653,5.7,6.6
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),50,2050,2309,10.8,12.3
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),31,1780,2010,8.0,8.8
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),32,1687,1754,6.2,6.4
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,1953,1953,8.4,8.4
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),2,1388,1388,8.3,8.3
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),15,1728,1824,6.2,6.6
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),12,1756,1802,5.9,6.0
All Vehicles - StL All Vehicles Volume,Trip Start,1491,SLCC Meadowbrook,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),2,1064,1064,4.1,4.1
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),69,1970,2008,12.0,12.1
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),2,1710,1710,12.3,12.3
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),2,1764,1963,9.6,9.9
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),16,1931,1975,10.7,10.7
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),23,2098,2147,10.4,10.7
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),25,1918,1930,14.4,14.5
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),101,1931,1969,11.8,11.9
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),2,1665,1665,12.9,12.9
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),3,1785,1785,9.4,9.4
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),22,1852,1910,9.2,9.2
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),34,2062,2121,10.2,10.6
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),40,1894,1908,14.5,14.6
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),13,1762,1876,9.7,9.9
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,1979,1979,7.9,7.9
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),1,1729,4539,8.1,14.0
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),6,2049,2049,12.7,12.7
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),3,1451,1451,6.9,6.9
All Vehicles - StL All Vehicles Volume,Trip Start,1577,USU Salt Lake,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),3,1395,1395,6.9,6.9
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3919,1840,1881,10.0,10.2
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),32,1708,1770,7.6,8.1
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),315,1614,1651,8.3,8.5
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1659,1835,1881,9.5,9.8
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1163,1957,2000,10.4,10.5
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),750,1770,1794,11.5,11.6
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),5583,1841,1879,9.9,10.1
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),31,1773,1872,7.5,8.3
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),463,1607,1642,7.8,8.1
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),2357,1847,1890,9.6,9.8
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1637,1959,1998,10.1,10.2
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),1095,1754,1780,11.4,11.5
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1183,1764,1826,10.5,10.7
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),33,1682,1675,7.8,7.8
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),56,1454,1506,8.7,8.7
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),523,1664,1740,8.9,9.3
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),381,1933,2004,12.7,12.8
All Vehicles - StL All Vehicles Volume,Trip Start,1580,SLCC Main,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),190,1806,1825,11.3,11.3
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),20,1481,1518,7.3,7.4
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,1363,1363,6.9,6.9
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),3,1309,1327,5.9,5.8
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),9,1546,1565,8.1,8.1
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),3,1722,1722,6.2,6.2
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),4,1329,1453,7.3,7.8
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),27,1512,1542,7.8,7.9
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),1,1521,1521,7.7,7.7
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),5,1190,1213,4.9,4.9
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),12,1679,1683,9.2,9.2
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),4,1587,1587,6.3,6.3
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),6,1366,1478,7.9,8.4
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),11,1203,1302,4.6,4.8
All Vehicles - StL All Vehicles Volume,Trip Start,1607,SLCC Herriman,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),0,795,795,3.3,3.3
