Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Origin Zone Source,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Destination Zone Source,Day Type,Day Part,Average Daily O-D Traffic (StL Volume),Average Daily Origin Zone Traffic (StL Volume),Average Daily Destination Zone Traffic (StL Volume),Avg Travel Time (sec)
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319501001',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,7650
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319501001',no,N/A,no,Census Block Group,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,67,N/A,7650
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319502001',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,6384
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319502001',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,6384
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319502001',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,6384
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319502001',no,N/A,no,Census Block Group,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,67,N/A,6384
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160419701002',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,5346
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160419701002',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,5346
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160419701002',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,5346
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160419701002',no,N/A,no,Census Block Group,1: Weekday (M-Th),2: Peak AM (6am-10am),0,14,N/A,5346
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160419702005',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,3373
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160419702005',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,59,N/A,3373
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160419702005',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,90,N/A,3373
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160419702005',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),0,24,N/A,3373
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160539701002',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,7318
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160539701002',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,7318
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160539701002',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,90,N/A,7318
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160539701002',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),0,38,N/A,7318
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160659501003',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,11274
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160659501003',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,11274
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160659501003',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,11274
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160659501003',no,N/A,no,Census Block Group,1: Weekday (M-Th),2: Peak AM (6am-10am),0,14,N/A,11274
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160679702001',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,6492
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160679702001',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,59,N/A,6492
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160679702001',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,90,N/A,6492
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160679702001',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),0,24,N/A,6492
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,3503
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,3786
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,3299
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,59,N/A,3423
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,3423
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,80,N/A,3423
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,90,N/A,3542
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),0,6,N/A,3786
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601002',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),0,38,N/A,3299
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601003',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,5352
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160719601003',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,5352
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601001',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,2806
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601001',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,2276
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601001',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,59,N/A,3337
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601001',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,2276
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601001',no,N/A,no,Census Block Group,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,67,N/A,2276
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601001',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,90,N/A,3337
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601001',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),0,24,N/A,3337
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601002',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,2137
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601002',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,2137
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601002',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,90,N/A,2137
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601002',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),0,6,N/A,2137
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,3652
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,3687
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,3669
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,59,N/A,3550
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,3823
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,1: Weekday (M-Th),2: Peak AM (6am-10am),0,14,N/A,3687
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,67,N/A,3960
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,80,N/A,3550
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,90,N/A,2797
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039601003',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),0,38,N/A,2797
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602001',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,3685
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602001',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),0,45,N/A,3685
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602001',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,3685
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602001',no,N/A,no,Census Block Group,1: Weekday (M-Th),5: Late PM (7pm-12am),0,63,N/A,3685
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602002',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,1698
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602002',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),0,45,N/A,1698
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602002',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,1540
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602002',no,N/A,no,Census Block Group,1: Weekday (M-Th),5: Late PM (7pm-12am),0,63,N/A,1540
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,2761
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,1692
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,2947
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,59,N/A,2978
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),0,45,N/A,3242
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,2637
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,1: Weekday (M-Th),2: Peak AM (6am-10am),0,14,N/A,1692
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,80,N/A,2978
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602003',no,N/A,no,Census Block Group,1: Weekday (M-Th),5: Late PM (7pm-12am),0,63,N/A,3242
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602004',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,1474
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602004',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,1579
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602004',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),0,45,N/A,1212
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602004',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,1193
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602004',no,N/A,no,Census Block Group,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,67,N/A,1153
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602004',no,N/A,no,Census Block Group,1: Weekday (M-Th),5: Late PM (7pm-12am),0,63,N/A,1212
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602004',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1,90,N/A,2246
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602004',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1,38,N/A,2246
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),3,177,N/A,1759
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,1317
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),1,58,N/A,1701
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,59,N/A,1995
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),2,45,N/A,1748
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),4,227,N/A,1707
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,1: Weekday (M-Th),2: Peak AM (6am-10am),0,14,N/A,1172
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,67,N/A,1748
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,80,N/A,1755
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,1: Weekday (M-Th),5: Late PM (7pm-12am),3,63,N/A,1719
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1,90,N/A,1402
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),0,6,N/A,1462
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602005',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),0,38,N/A,1372
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602006',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,3260
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602006',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),0,45,N/A,3260
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602006',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,3260
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039602006',no,N/A,no,Census Block Group,1: Weekday (M-Th),5: Late PM (7pm-12am),0,63,N/A,3260
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603001',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),1,177,N/A,1756
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603001',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,1537
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603001',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),1,59,N/A,1758
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603001',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),0,45,N/A,1822
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603001',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),2,227,N/A,1780
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603001',no,N/A,no,Census Block Group,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,67,N/A,1537
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603001',no,N/A,no,Census Block Group,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1,80,N/A,1758
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603001',no,N/A,no,Census Block Group,1: Weekday (M-Th),5: Late PM (7pm-12am),0,63,N/A,2008
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),2,177,N/A,3018
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,0: All Days (M-Su),1: Early AM (12am-6am),1,3,N/A,2779
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,2183
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,3094
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,59,N/A,1804
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),1,45,N/A,4085
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),2,227,N/A,2968
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,1: Weekday (M-Th),1: Early AM (12am-6am),2,3,N/A,2768
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,1: Weekday (M-Th),2: Peak AM (6am-10am),0,14,N/A,2183
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'490039603002',no,N/A,no,Census Block Group,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,80,N/A,1804
