Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Origin Zone Source,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Destination Zone Source,Day Type,Day Part,Average Daily O-D Traffic (StL Volume),Average Daily Origin Zone Traffic (StL Volume),Average Daily Destination Zone Traffic (StL Volume),Avg Travel Time (sec)
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160050003003',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,7162
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160050003003',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),0,45,N/A,7162
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160050003003',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,7162
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160050003003',no,N/A,no,Census Block Group,1: Weekday (M-Th),5: Late PM (7pm-12am),0,63,N/A,7162
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160050019004',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,5146
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160050019004',no,N/A,no,Census Block Group,0: All Days (M-Su),2: Peak AM (6am-10am),0,12,N/A,5146
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160050019004',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1,90,N/A,5146
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160050019004',no,N/A,no,Census Block Group,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),1,6,N/A,5146
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160299602002',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,6513
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160299602002',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,6513
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160299602002',no,N/A,no,Census Block Group,1: Weekday (M-Th),0: All Day (12am-12am),0,227,N/A,6513
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160299602002',no,N/A,no,Census Block Group,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,67,N/A,6513
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319501001',no,N/A,no,Census Block Group,0: All Days (M-Su),0: All Day (12am-12am),0,177,N/A,7190
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319501001',no,N/A,no,Census Block Group,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,58,N/A,7650
All Vehicles - StL All Vehicles Volume,82,UofU Brigham City,no,N/A,no,Input,"",'160319501001',no,N/A,no,Census Block Group,0: All Days (M-Su),5: Late PM (7pm-12am),0,45,N/A,6730
