mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350227_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,29,5.3566878980891719
All Vehicles - StL All Vehicles Sample Trip Counts,490471_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,42,7.75796178343949
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350982_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,34,6.2802547770700636
All Vehicles - StL All Vehicles Sample Trip Counts,350823_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,202,37.312101910828027
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350290_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,49,9.0509554140127388
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350734_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,39,7.2038216560509554
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,490719_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,62,11.452229299363058
All Vehicles - StL All Vehicles Sample Trip Counts,350366_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,28,5.1719745222929934
All Vehicles - StL All Vehicles Sample Trip Counts,110188_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,56,10.343949044585987
All Vehicles - StL All Vehicles Sample Trip Counts,351075_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,112,20.687898089171973
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350254_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,183,33.802547770700635
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,43266_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,38,7.0191082802547768
All Vehicles - StL All Vehicles Sample Trip Counts,110160_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,30,5.54140127388535
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350894_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,60,11.0828025477707
All Vehicles - StL All Vehicles Sample Trip Counts,350325_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,57,10.528662420382165
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350631_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,57,10.528662420382165
All Vehicles - StL All Vehicles Sample Trip Counts,43275_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,111,20.503184713375795
All Vehicles - StL All Vehicles Sample Trip Counts,490250_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,51,9.4203821656050959
All Vehicles - StL All Vehicles Sample Trip Counts,350155_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,131,24.197452229299362
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,570237_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,24,4.43312101910828
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350151_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,341,62.987261146496813
All Vehicles - StL All Vehicles Sample Trip Counts,350110_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,2134,394.17834394904457
All Vehicles - StL All Vehicles Sample Trip Counts,350091_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,61,11.267515923566879
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,110166_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,37,6.8343949044585983
All Vehicles - StL All Vehicles Sample Trip Counts,110117_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,82,15.146496815286625
All Vehicles - StL All Vehicles Sample Trip Counts,490803_2,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,33,6.0955414012738851
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,490678_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,25,4.6178343949044587
All Vehicles - StL All Vehicles Sample Trip Counts,490357_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,25,4.6178343949044587
All Vehicles - StL All Vehicles Sample Trip Counts,43073_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,200,36.942675159235669
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350480_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,79,14.592356687898089
All Vehicles - StL All Vehicles Sample Trip Counts,350655_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,38,7.0191082802547768
All Vehicles - StL All Vehicles Sample Trip Counts,490326_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,30,5.54140127388535
All Vehicles - StL All Vehicles Sample Trip Counts,350060_1,350472_0,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,88,16.254777070063696
All Vehicles - StL All Vehicles Sample Trip Counts,350760_0,350060_1,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year,73,13.48407643312102
