mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110179_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,36,26.76923076923077
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110094_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,28,20.820512820512821
All Vehicles - StL All Vehicles Sample Trip Counts,110173_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,16,11.897435897435898
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,492,365.84615384615387
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,570356_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,22,16.358974358974358
All Vehicles - StL All Vehicles Sample Trip Counts,110191_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,16,11.897435897435898
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110132_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,24,17.846153846153847
All Vehicles - StL All Vehicles Sample Trip Counts,110143_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,48,35.692307692307693
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110158_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,47,34.948717948717949
All Vehicles - StL All Vehicles Sample Trip Counts,110199_1,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,652,484.82051282051282
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110173_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,19,14.128205128205128
All Vehicles - StL All Vehicles Sample Trip Counts,110123_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,100,74.358974358974365
All Vehicles - StL All Vehicles Sample Trip Counts,570289_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,17,12.641025641025641
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110290_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,48,35.692307692307693
All Vehicles - StL All Vehicles Sample Trip Counts,110033_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,51,37.92307692307692
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110127_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,67,49.820512820512818
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110182_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,32,23.794871794871796
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110188_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,31,23.051282051282051
All Vehicles - StL All Vehicles Sample Trip Counts,110204_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,30,22.307692307692307
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110084_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,28,20.820512820512821
All Vehicles - StL All Vehicles Sample Trip Counts,570412_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,18,13.384615384615385
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,350800_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,19,14.128205128205128
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110022_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,17,12.641025641025641
All Vehicles - StL All Vehicles Sample Trip Counts,110222_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,23,17.102564102564102
All Vehicles - StL All Vehicles Sample Trip Counts,110251_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,17,12.641025641025641
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110252_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,61,45.358974358974358
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110107_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,20,14.871794871794872
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110216_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,19,14.128205128205128
All Vehicles - StL All Vehicles Sample Trip Counts,110111_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,26,19.333333333333332
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110214_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,25,18.589743589743591
All Vehicles - StL All Vehicles Sample Trip Counts,110176_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,28,20.820512820512821
All Vehicles - StL All Vehicles Sample Trip Counts,110195_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,70,52.051282051282051
All Vehicles - StL All Vehicles Sample Trip Counts,110150_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,25,18.589743589743591
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110174_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,30,22.307692307692307
All Vehicles - StL All Vehicles Sample Trip Counts,23 FR ID 0015N,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,70,52.051282051282051
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110064_0,1: Weekday (Tu-Th),0: All Day (12am-12am),5. Jun-Aug,17,12.641025641025641
