,SpecGen,daytype_code,daypart_code,dataper_code,Volume,Counts,day_type,day_part,data_period
0,Airport,0,0,1,66955.51780818906,842716,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
1,BYU,0,0,1,56596.87671230788,712340,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
2,ENSIGN,0,0,1,3777.6273972605604,47546,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
3,Lagoon,0,0,1,9743.205479452836,122630,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
4,SLCC_AIRP,0,0,1,11649.180821918584,146619,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
5,SLCC_HM,0,0,1,3433.361643835842,43213,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
6,SLCC_JD,0,0,1,4101.553424657859,51623,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
7,SLCC_LB,0,0,1,3976.019178082423,50043,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
8,SLCC_MAIN,0,0,1,12317.452054795587,155030,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
9,SLCC_MEAD,0,0,1,2253.1808219177815,28359,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
10,SLCC_ML,0,0,1,5691.8657534245285,71639,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
11,SLCC_SC,0,0,1,8317.59726027368,104687,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
12,SLCC_WEST,0,0,1,3717.2438356166804,46786,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
13,SLCC_WVC,0,0,1,19147.62739725976,240996,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
14,SLC_Library,0,0,1,2292.0328767122896,28848,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
15,TempleSquare,0,0,1,13462.117808219971,169437,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
16,UOFU_MAIN,0,0,1,39088.66301368146,491978,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
17,UOFU_MED,0,0,1,31443.230136983526,395751,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
18,UOFU_SAND,0,0,1,14354.523287671936,180669,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
19,USU_BRIG,0,0,1,4369.704109589435,54998,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
20,USU_KAY,0,0,1,7397.621917808127,93108,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
21,USU_OREM,0,0,1,5952.865753424591,74924,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
22,USU_SL,0,0,1,12439.967123288272,156572,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
23,UVU_GENEVA,0,0,1,10353.794520550146,130315,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
24,UVU_MAIN,0,0,1,29791.739726023763,374965,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
25,UVU_PAYSON,0,0,1,648.5671232876582,8163,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
26,UVU_THANKP,0,0,1,4193.638356164627,52782,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
27,UVU_VINE,0,0,1,367.3863013698622,4624,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
28,WESTMIN,0,0,1,3522.9835616440578,44341,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
29,WSU_DAVIS,0,0,1,13409.282191781513,168772,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
30,WSU_FARM,0,0,1,33565.15616438426,422458,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
31,WSU_MAIN,0,0,1,17181.268493154304,216247,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
32,WSU_WEST,0,0,1,6834.942465753344,86026,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
33,Airport,1,0,1,69331.98089174392,375349,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
34,BYU,1,0,1,68926.90445862539,373156,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
35,ENSIGN,1,0,1,5230.159235669036,28315,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
36,Lagoon,1,0,1,6526.292993630909,35332,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
37,SLCC_AIRP,1,0,1,15102.535031847348,81762,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
38,SLCC_HM,1,0,1,3368.617834394847,18237,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
39,SLCC_JD,1,0,1,5874.808917197742,31805,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
40,SLCC_LB,1,0,1,4469.140127388484,24195,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
41,SLCC_MAIN,1,0,1,16615.337579617804,89952,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
42,SLCC_MEAD,1,0,1,2894.2738853502483,15669,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
43,SLCC_ML,1,0,1,7957.8216560516275,43082,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
44,SLCC_SC,1,0,1,10043.05095541451,54371,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
45,SLCC_WEST,1,0,1,5249.000000000223,28417,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
46,SLCC_WVC,1,0,1,18147.165605094142,98245,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
47,SLC_Library,1,0,1,2339.210191082836,12664,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
48,TempleSquare,1,0,1,14141.840764331413,76561,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
49,UOFU_MAIN,1,0,1,48241.03821656617,261167,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
50,UOFU_MED,1,0,1,39855.78980892449,215771,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
51,UOFU_SAND,1,0,1,15167.369426751846,82113,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
52,USU_BRIG,1,0,1,4671.216560509731,25289,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
53,USU_KAY,1,0,1,8035.955414012962,43505,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
54,USU_OREM,1,0,1,6136.732484076631,33223,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
55,USU_SL,1,0,1,14455.299363057524,78258,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
56,UVU_GENEVA,1,0,1,11526.853503185555,62404,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
57,UVU_MAIN,1,0,1,40749.61783440149,220610,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
58,UVU_PAYSON,1,0,1,716.3184713375625,3878,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
59,UVU_THANKP,1,0,1,5128.012738853748,27762,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
60,UVU_VINE,1,0,1,451.43949044584986,2444,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
61,WESTMIN,1,0,1,4145.891719745168,22445,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
62,WSU_DAVIS,1,0,1,15808.32484076462,85583,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
63,WSU_FARM,1,0,1,31654.7006369398,171372,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
64,WSU_MAIN,1,0,1,21907.00636942183,118600,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
65,WSU_WEST,1,0,1,7163.369426751759,38781,1: Weekday (Tu-Th),0: All Day (12am-12am),1. All year
66,Airport,2,0,1,58781.04807691678,210801,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1. All year
67,BYU,2,0,1,31477.269230775186,112884,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1. All year
68,ENSIGN,2,0,1,1271.5384615384974,4560,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1. All year
69,Lagoon,2,0,1,14690.73076922971,52684,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1. All year
70,SLCC_AIRP,2,0,1,5295.288461538026,18990,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1. All year
