mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,110277_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,17,5.4777777777777779
All Vehicles - StL All Vehicles Sample Trip Counts,110244_0,110200_0,1: Weekday (Tu-Th),3: Mid-Day (9am-3pm),3. Dec-Feb,9,6.525
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110080_0,1: Weekday (Tu-Th),4: Peak PM (3pm-6pm),3. Dec-Feb,19,13.775
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110197_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,7,8.12
All Vehicles - StL All Vehicles Sample Trip Counts,110199_1,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,87,28.033333333333335
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110142_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,10,3.2222222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110163_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,9,6.525
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110101_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110287_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,14,4.5111111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,570412_0,110200_0,0: All Days (Mo-Su),5: Late PM (6pm-12am),3. Dec-Feb,10,3.2222222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110198_1,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,15,4.833333333333333
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110199_1,1: Weekday (Tu-Th),3: Mid-Day (9am-3pm),3. Dec-Feb,41,29.725
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110126_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,570065_0,110200_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,13,4.1888888888888891
All Vehicles - StL All Vehicles Sample Trip Counts,110127_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110195_0,110200_0,0: All Days (Mo-Su),2: Peak AM (6am-9am),3. Dec-Feb,20,6.4444444444444446
All Vehicles - StL All Vehicles Sample Trip Counts,110198_1,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,17,5.4777777777777779
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110293_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,9,6.525
All Vehicles - StL All Vehicles Sample Trip Counts,110144_0,110200_0,0: All Days (Mo-Su),2: Peak AM (6am-9am),3. Dec-Feb,30,9.6666666666666661
