mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,110247_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),2. Sep-Nov,9,2.8681318681318682
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,350884_0,0: All Days (Mo-Su),0: All Day (12am-12am),2. Sep-Nov,13,4.1428571428571432
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110244_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),2. Sep-Nov,13,4.1428571428571432
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110145_0,2: Weekend Day (Sa-Su),5: Late PM (6pm-12am),2. Sep-Nov,9,10.038461538461538
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110222_0,1: Weekday (Tu-Th),0: All Day (12am-12am),2. Sep-Nov,9,6.6923076923076925
All Vehicles - StL All Vehicles Sample Trip Counts,110184_0,110200_0,0: All Days (Mo-Su),5: Late PM (6pm-12am),2. Sep-Nov,16,5.0989010989010985
All Vehicles - StL All Vehicles Sample Trip Counts,350730_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),2. Sep-Nov,8,2.5494505494505497
All Vehicles - StL All Vehicles Sample Trip Counts,350531_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),2. Sep-Nov,8,2.5494505494505497
All Vehicles - StL All Vehicles Sample Trip Counts,110139_0,110200_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),2. Sep-Nov,27,8.604395604395604
All Vehicles - StL All Vehicles Sample Trip Counts,110287_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2. Sep-Nov,34,37.92307692307692
All Vehicles - StL All Vehicles Sample Trip Counts,351033_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),2. Sep-Nov,7,2.2307692307692308
All Vehicles - StL All Vehicles Sample Trip Counts,570369_0,110200_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),2. Sep-Nov,7,2.2307692307692308
All Vehicles - StL All Vehicles Sample Trip Counts,110136_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),2. Sep-Nov,7,2.2307692307692308
All Vehicles - StL All Vehicles Sample Trip Counts,110090_0,110200_0,2: Weekend Day (Sa-Su),3: Mid-Day (9am-3pm),2. Sep-Nov,8,8.9230769230769234
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110287_0,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),2. Sep-Nov,8,8.9230769230769234
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,350688_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2. Sep-Nov,8,8.9230769230769234
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,350510_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2. Sep-Nov,8,8.9230769230769234
All Vehicles - StL All Vehicles Sample Trip Counts,110198_1,110200_0,2: Weekend Day (Sa-Su),5: Late PM (6pm-12am),2. Sep-Nov,16,17.846153846153847
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,570380_0,2: Weekend Day (Sa-Su),5: Late PM (6pm-12am),2. Sep-Nov,16,17.846153846153847
All Vehicles - StL All Vehicles Sample Trip Counts,110212_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2. Sep-Nov,32,35.692307692307693
All Vehicles - StL All Vehicles Sample Trip Counts,570377_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2. Sep-Nov,11,12.26923076923077
All Vehicles - StL All Vehicles Sample Trip Counts,110014_0,110200_0,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),2. Sep-Nov,7,7.8076923076923075
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110289_0,2: Weekend Day (Sa-Su),5: Late PM (6pm-12am),2. Sep-Nov,7,7.8076923076923075
All Vehicles - StL All Vehicles Sample Trip Counts,110078_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),2. Sep-Nov,11,3.5054945054945055
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110183_0,2: Weekend Day (Sa-Su),5: Late PM (6pm-12am),2. Sep-Nov,21,23.423076923076923
All Vehicles - StL All Vehicles Sample Trip Counts,110170_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),2. Sep-Nov,5,3.7179487179487181
All Vehicles - StL All Vehicles Sample Trip Counts,110075_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),2. Sep-Nov,10,7.4358974358974361
