mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,110252_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),4. Mar-May,26,29
All Vehicles - StL All Vehicles Sample Trip Counts,110122_0,110200_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),4. Mar-May,9,2.8369565217391304
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110015_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,9,2.8369565217391304
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110189_1,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),4. Mar-May,9,2.8369565217391304
All Vehicles - StL All Vehicles Sample Trip Counts,110194_0,110200_0,2: Weekend Day (Sa-Su),3: Mid-Day (9am-3pm),4. Mar-May,76,84.769230769230774
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110199_1,0: All Days (Mo-Su),5: Late PM (6pm-12am),4. Mar-May,254,80.065217391304344
All Vehicles - StL All Vehicles Sample Trip Counts,110185_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,13,4.0978260869565215
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,570377_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,55,17.336956521739129
All Vehicles - StL All Vehicles Sample Trip Counts,110065_0,110200_0,1: Weekday (Tu-Th),4: Peak PM (3pm-6pm),4. Mar-May,7,5.2051282051282053
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110183_0,1: Weekday (Tu-Th),4: Peak PM (3pm-6pm),4. Mar-May,14,10.410256410256411
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110163_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),4. Mar-May,8,2.5217391304347827
All Vehicles - StL All Vehicles Sample Trip Counts,351219_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),4. Mar-May,9,6.6923076923076925
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,351229_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,6,1.8913043478260869
All Vehicles - StL All Vehicles Sample Trip Counts,350825_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),4. Mar-May,7,2.2065217391304346
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,570394_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),4. Mar-May,7,2.2065217391304346
All Vehicles - StL All Vehicles Sample Trip Counts,570415_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),4. Mar-May,8,8.9230769230769234
All Vehicles - StL All Vehicles Sample Trip Counts,110204_0,110200_0,2: Weekend Day (Sa-Su),3: Mid-Day (9am-3pm),4. Mar-May,16,17.846153846153847
All Vehicles - StL All Vehicles Sample Trip Counts,110142_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,31,9.7717391304347831
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,350739_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,11,3.4673913043478262
All Vehicles - StL All Vehicles Sample Trip Counts,110190_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),4. Mar-May,17,5.3586956521739131
All Vehicles - StL All Vehicles Sample Trip Counts,110121_0,110200_0,2: Weekend Day (Sa-Su),2: Peak AM (6am-9am),4. Mar-May,7,7.8076923076923075
All Vehicles - StL All Vehicles Sample Trip Counts,110034_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),4. Mar-May,15,16.73076923076923
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110196_0,0: All Days (Mo-Su),5: Late PM (6pm-12am),4. Mar-May,108,34.043478260869563
All Vehicles - StL All Vehicles Sample Trip Counts,490536_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,5,1.576086956521739
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,570365_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),4. Mar-May,5,5.5769230769230766
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110200_0,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),4. Mar-May,80,89.230769230769226
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,570415_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),4. Mar-May,13,14.5
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,351150_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,13,4.0978260869565215
All Vehicles - StL All Vehicles Sample Trip Counts,350957_0,110200_0,0: All Days (Mo-Su),2: Peak AM (6am-9am),4. Mar-May,8,2.5217391304347827
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,50432_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,1,0.31521739130434784
All Vehicles - StL All Vehicles Sample Trip Counts,350489_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,1,0.31521739130434784
All Vehicles - StL All Vehicles Sample Trip Counts,570185_1,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),4. Mar-May,1,0.31521739130434784
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,350704_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),4. Mar-May,1,0.31521739130434784
All Vehicles - StL All Vehicles Sample Trip Counts,350687_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),4. Mar-May,1,0.31521739130434784
All Vehicles - StL All Vehicles Sample Trip Counts,30019_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),4. Mar-May,1,0.31521739130434784
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,351047_0,0: All Days (Mo-Su),0: All Day (12am-12am),4. Mar-May,1,0.31521739130434784
All Vehicles - StL All Vehicles Sample Trip Counts,45031_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),4. Mar-May,1,0.31521739130434784
